StudentID,EnrollmentTerm,School,Program,Specialization,EnrollmentStatus,EnrollmentType,SSN,Age,Gender,StateOfResidence,CreditsAttemptedTerm,CreditsCompletedTerm,CumulativeGPA,StudentSatisfactionScore,TuitionPaidTerm
STU028,Fall 2024,Business,MBA,,Enrolled,Part Time,707-07-0007,29,Male,GA,6,6,3.5,4,5000
STU029,Fall 2024,Technology,BS in IT,,Enrolled,Full Time,808-08-0008,31,Female,CO,12,12,3.6,4,8000
STU030,Spring 2025,Arts & Sciences,MA in Creative Writing,,Enrolled,Part Time,909-09-0009,52,Male,OH,3,3,3.7,3,2500
STU031,Spring 2025,Business,MBA,Finance,Enrolled,Full Time,321-54-9876,37,Female,CA,9,9,3.8,5,7500
STU032,Spring 2025,Technology,BS in IT,Cybersecurity,Enrolled,Part Time,654-32-1987,27,Male,TX,6,6,3.9,4,5000
STU033,Fall 2024,Nursing,BSN,,Enrolled,Full Time,147-25-3698,24,Female,NY,12,12,3.7,4,8000
STU034,Fall 2024,Arts & Sciences,BA in Psychology,,Enrolled,Part Time,258-36-4710,48,Male,FL,3,3,3.5,3,2500
STU035,Spring 2025,Business,Master of Business Administration,,Enrolled,Full Time,369-47-5821,34,Female,IL,9,9,3.6,4,7500
STU036,Spring 2025,Technology,MS in Data Analytics,,Enrolled,Part Time,741-85-2963,30,Male,WA,6,6,3.8,5,5500
STU037,Spring 2025,Nursing,MSN,Nursing Informatics,Enrolled,Full Time,852-96-3174,41,Female,PA,9,9,4,5,8500
STU038,Fall 2024,Business,BS in Business Administration,Operations,Enrolled,Part Time,963-17-4285,23,Male,GA,6,6,3.3,3,5000
STU039,Fall 2024,Technology,BS in IT,Web Development,Enrolled,Full Time,159-26-3847,32,Female,CO,12,12,3.5,4,8000
STU040,Spring 2025,Arts & Sciences,BA in History,,Withdrawn,Part Time,753-31-5796,49,Male,OH,3,0,3,2,1000
STU041,Spring 2025,Business,MBA,Project Management,Enrolled,Full Time,357-42-4682,39,Female,CA,9,9,3.9,5,7500
STU042,Spring 2025,Technology,BS in IT,Software Development,Enrolled,Part Time,951-63-2847,28,Male,TX,6,6,3.7,4,5000
STU043,Fall 2024,Nursing,BSN,,Enrolled,Full Time,268-14-7531,22,Female,NY,12,12,3.8,4,8000
STU044,Fall 2024,Arts & Sciences,BA in Communication,,Enrolled,Part Time,846-25-9371,44,Male,FL,3,3,3.4,3,2500
STU045,Spring 2025,Business,BS in Business Administration,,Enrolled,Full Time,427-36-1947,31,Female,IL,12,12,4,5,8000
STU046,Spring 2025,Technology,MS in Cybersecurity,,Enrolled,Part Time,531-47-2684,33,Male,WA,6,6,3.9,4,5500
STU047,Spring 2025,Nursing,DNP,,Completed,Full Time,319-58-6247,47,Female,PA,6,6,4,5,4000
STU048,Fall 2024,Business,MBA,,Enrolled,Part Time,204-69-1324,26,Male,GA,6,6,3.6,4,5000
STU049,Fall 2024,Technology,BS in IT,Network Administration,Enrolled,Full Time,423-41-2341,35,Female,CO,12,12,3.7,4,8000
STU050,Spring 2025,Arts & Sciences,BA in English,,Enrolled,Part Time,453-42-7564,51,Male,OH,3,3,3.5,3,2500
