firstname,surname,ssn,born_country_code,died_country_code,gender,year,category,share,name_of_university,city_of_university,country_of_university,born_month,age,age_get_prize
Samuel C.C.,Ting,629-72-3371,US,,male,1976,physics,2,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Jan,84,40
Philip W.,Anderson,529-93-3836,US,US,male,1977,physics,3,Bell Telephone Laboratories,Murray Hill NJ,USA,Dec,97,54
Sir Nevill F.,Mott,956-69-6201,GB,GB,male,1977,physics,3,University of Cambridge,Cambridge,United Kingdom,Sep,91,72
John H.,van Vleck,311-99-4345,US,US,male,1977,physics,3,Harvard University,Cambridge MA,USA,Mar,81,78
Pyotr,Kapitsa,936-72-8343,RU,RU,male,1978,physics,2,Academy of Sciences,Moscow,USSR (now Russia),Jul,90,84
Arno,Penzias,760-20-8178,DE,,male,1978,physics,4,Bell Laboratories,Holmdel NJ,USA,Apr,87,45
Robert Woodrow,Wilson,905-83-5086,US,,male,1978,physics,4,Bell Laboratories,Holmdel NJ,USA,Jan,84,42
Sheldon,Glashow,964-34-4049,US,,male,1979,physics,3,Harvard University Lyman Laboratory,Cambridge MA,USA,Dec,88,47
Abdus,Salam,820-43-4168,PK,GB,male,1979,physics,3,International Centre for Theoretical Physics,Trieste,Italy,Jan,70,53
Steven,Weinberg,466-81-1787,US,,male,1979,physics,3,Harvard University,Cambridge MA,USA,May,87,46
James,Cronin,438-91-9972,US,US,male,1980,physics,2,University of Chicago,Chicago IL,USA,Sep,85,49
Val,Fitch,836-71-5489,US,US,male,1980,physics,2,Princeton University,Princeton NJ,USA,Mar,92,57
Nicolaas,Bloembergen,160-78-9931,NL,US,male,1981,physics,4,Harvard University,Cambridge MA,USA,Mar,97,61
Arthur L.,Schawlow,343-64-3275,US,US,male,1981,physics,4,Stanford University,Stanford CA,USA,May,78,60
Kai M.,Siegbahn,265-50-9559,SE,SE,male,1981,physics,2,Uppsala University,Uppsala,Sweden,Apr,89,63
Kenneth G.,Wilson,552-39-4358,US,US,male,1982,physics,1,Cornell University,Ithaca NY,USA,Jun,77,46
Subramanyan,Chandrasekhar,517-71-2587,PK,US,male,1983,physics,2,University of Chicago,Chicago IL,USA,Oct,85,73
William A.,Fowler,194-35-1914,US,US,male,1983,physics,2,California Institute of Technology (Caltech),Pasadena CA,USA,Aug,84,72
Carlo,Rubbia,741-13-1472,IT,,male,1984,physics,2,CERN,Geneva,Switzerland,Mar,86,50
Simon,van der Meer,107-60-3091,NL,CH,male,1984,physics,2,CERN,Geneva,Switzerland,Nov,86,59
Klaus,von Klitzing,188-36-1900,PL,,male,1985,physics,1,Max-Planck-Institut für Festkörperforschung,Stuttgart,Germany,Jun,77,42
Ernst,Ruska,672-67-4707,DE,DE,male,1986,physics,2,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Germany,Dec,82,80
Gerd,Binnig,586-61-4783,DE,,male,1986,physics,4,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,Jul,73,39
Heinrich,Rohrer,466-97-4074,CH,CH,male,1986,physics,4,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,Jun,80,53
J. Georg,Bednorz,559-16-3887,DE,,male,1987,physics,2,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,May,70,37
K. Alex,Müller,639-30-1287,CH,,male,1987,physics,2,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,Apr,93,60
Leon M.,Lederman,987-78-7131,US,US,male,1988,physics,3,Fermi National Accelerator Laboratory,Batavia IL,USA,Jul,96,66
Melvin,Schwartz,539-96-3792,US,US,male,1988,physics,3,Digital Pathways Inc.,Mountain View CA,USA,Nov,74,56
Jack,Steinberger,451-23-7313,DE,,male,1988,physics,3,CERN,Geneva,Switzerland,May,99,67
Norman F.,Ramsey,467-35-5433,US,US,male,1989,physics,2,Harvard University,Cambridge MA,USA,Aug,96,74
Hans G.,Dehmelt,108-26-9248,DE,US,male,1989,physics,4,University of Washington,Seattle WA,USA,Sep,95,67
Wolfgang,Paul,594-50-4853,DE,DE,male,1989,physics,4,University of Bonn,Bonn,Germany,Aug,80,76
Jerome I.,Friedman,799-40-8757,US,,male,1990,physics,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Mar,90,60
Henry W.,Kendall,320-15-4602,US,US,male,1990,physics,3,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Dec,73,64
Richard E.,Taylor,771-74-3791,CA,US,male,1990,physics,3,Stanford University,Stanford CA,USA,Nov,89,61
Pierre-Gilles,de Gennes,203-89-4885,FR,FR,male,1991,physics,1,Collège de France,Paris,France,Oct,75,59
Georges,Charpak,550-66-9733,PL,FR,male,1992,physics,1,École Supérieure de Physique et Chimie,Paris,France,Aug,86,68
Russell A.,Hulse,164-39-7751,US,,male,1993,physics,2,Princeton University,Princeton NJ,USA,Nov,70,43
Joseph H.,Taylor Jr.,122-65-5818,US,,male,1993,physics,2,Princeton University,Princeton NJ,USA,Mar,79,52
Bertram N.,Brockhouse,714-19-2869,CA,CA,male,1994,physics,2,McMaster University,Hamilton Ontario,Canada,Jul,85,76
Clifford G.,Shull,745-45-5402,US,US,male,1994,physics,2,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Sep,86,79
Martin L.,Perl,345-45-8060,US,US,male,1995,physics,2,Stanford University,Stanford CA,USA,Jun,87,68
Frederick,Reines,678-97-8378,US,US,male,1995,physics,2,University of California,Irvine CA,USA,Mar,80,77
David M.,Lee,942-53-6541,US,,male,1996,physics,3,Cornell University,Ithaca NY,USA,Jan,89,65
Douglas D.,Osheroff,463-88-1130,US,,male,1996,physics,3,Stanford University,Stanford CA,USA,Aug,75,51
Robert C.,Richardson,709-52-4375,US,US,male,1996,physics,3,Cornell University,Ithaca NY,USA,Jun,76,59
Steven,Chu,459-45-3510,US,,male,1997,physics,3,Stanford University,Stanford CA,USA,Feb,72,49
Claude,Cohen-Tannoudji,447-28-4234,DZ,,male,1997,physics,3,Collège de France,Paris,France,Apr,87,64
William D.,Phillips,601-41-8060,US,,male,1997,physics,3,National Institute of Standards and Technology,Gaithersburg MD,USA,Nov,72,49
Robert B.,Laughlin,937-47-3176,US,,male,1998,physics,3,Stanford University,Stanford CA,USA,Nov,70,48
Horst L.,Störmer,445-69-1873,DE,,male,1998,physics,3,Columbia University,New York NY,USA,Apr,71,49
Daniel C.,Tsui,849-43-3001,CN,,male,1998,physics,3,Princeton University,Princeton NJ,USA,Feb,81,59
Gerardus,t Hooft,994-94-7350,NL,,male,1999,physics,2,Utrecht University,Utrecht,the Netherlands,Jul,74,53
Martinus J.G.,Veltman,229-11-8586,NL,,male,1999,physics,2,,,,Jun,89,68
Jacobus H.,van 't Hoff,321-46-7926,NL,DE,male,1901,chemistry,1,Berlin University,Berlin,Germany,Aug,59,49
Emil,Fischer,332-77-4431,DE,DE,male,1902,chemistry,1,Berlin University,Berlin,Germany,Oct,67,50
Svante,Arrhenius,322-37-9652,SE,SE,male,1903,chemistry,1,Stockholm University,Stockholm,Sweden,Feb,68,44
Sir William,Ramsay,294-60-5058,GB,GB,male,1904,chemistry,1,University College,London,United Kingdom,Oct,64,52
Adolf,von Baeyer,950-57-4195,DE,DE,male,1905,chemistry,1,Munich University,Munich,Germany,Oct,82,70
Henri,Moissan,765-47-2236,FR,FR,male,1906,chemistry,1,Sorbonne University,Paris,France,Sep,55,54
Eduard,Buchner,576-81-5806,DE,RO,male,1907,chemistry,1,Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany,May,57,47
Ernest,Rutherford,262-69-2114,NZ,GB,male,1908,chemistry,1,Victoria University,Manchester,United Kingdom,Aug,66,37
Wilhelm,Ostwald,800-40-1048,LV,DE,male,1909,chemistry,1,Leipzig University,Leipzig,Germany,Sep,79,56
Otto,Wallach,923-76-6776,RU,DE,male,1910,chemistry,1,Goettingen University,Göttingen,Germany,Mar,84,63
Victor,Grignard,844-79-9896,FR,FR,male,1912,chemistry,2,Nancy University,Nancy,France,May,64,41
Paul,Sabatier,127-67-3179,FR,FR,male,1912,chemistry,2,Toulouse University,Toulouse,France,Nov,87,58
Alfred,Werner,234-79-2279,FR,CH,male,1913,chemistry,1,University of Zurich,Zurich,Switzerland,Dec,53,47
Theodore W.,Richards,462-82-1502,US,US,male,1914,chemistry,1,Harvard University,Cambridge MA,USA,Jan,60,46
Richard,Willstätter,798-21-6985,DE,CH,male,1915,chemistry,1,Munich University,Munich,Germany,Aug,70,43
Fritz,Haber,116-58-7648,PL,CH,male,1918,chemistry,1,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Berlin-Dahlem,Germany,Dec,66,50
Walther,Nernst,490-31-7633,DE,DE,male,1920,chemistry,1,Berlin University,Berlin,Germany,Jun,77,56
Frederick,Soddy,812-18-9604,GB,GB,male,1921,chemistry,1,University of Oxford,Oxford,United Kingdom,Sep,79,44
Francis W.,Aston,935-66-6287,GB,GB,male,1922,chemistry,1,University of Cambridge,Cambridge,United Kingdom,Sep,68,45
Fritz,Pregl,476-97-7082,SI,AT,male,1923,chemistry,1,Graz University,Graz,Austria,Sep,61,54
Richard,Zsigmondy,454-36-6125,AT,DE,male,1925,chemistry,1,Goettingen University,Göttingen,Germany,Apr,64,60
The,Svedberg,424-99-4404,SE,SE,male,1926,chemistry,1,Uppsala University,Uppsala,Sweden,Aug,87,42
Heinrich,Wieland,680-45-2273,DE,DE,male,1927,chemistry,1,Munich University,Munich,Germany,Jun,80,50
Adolf,Windaus,317-29-3435,DE,DE,male,1928,chemistry,1,Goettingen University,Göttingen,Germany,Dec,83,52
Arthur,Harden,988-20-3984,GB,GB,male,1929,chemistry,2,London University,London,United Kingdom,Oct,75,64
Hans,von Euler-Chelpin,774-59-6451,DE,SE,male,1929,chemistry,2,Stockholm University,Stockholm,Sweden,Feb,91,56
Hans,Fischer,638-65-7271,DE,DE,male,1930,chemistry,1,Technische Hochschule (Institute of Technology),Munich,Germany,Jul,64,49
Carl,Bosch,339-35-8030,DE,DE,male,1931,chemistry,2,University of Heidelberg,Heidelberg,Germany,Aug,66,57
Friedrich,Bergius,309-40-4539,PL,AR,male,1931,chemistry,2,University of Heidelberg,Heidelberg,Germany,Oct,65,47
Irving,Langmuir,961-73-3852,US,US,male,1932,chemistry,1,General Electric Company,Schenectady NY,USA,Jan,76,51
Harold C.,Urey,325-20-7130,US,US,male,1934,chemistry,1,Columbia University,New York NY,USA,Apr,88,41
Frédéric,Joliot,330-70-3467,FR,FR,male,1935,chemistry,2,Institut du Radium,Paris,France,Mar,58,35
Irène,Joliot-Curie,636-87-4418,FR,FR,female,1935,chemistry,2,Institut du Radium,Paris,France,Sep,59,38
Peter,Debye,462-71-1608,NL,US,male,1936,chemistry,1,Berlin University,Berlin,Germany,Mar,82,52
Norman,Haworth,250-44-4443,GB,GB,male,1937,chemistry,2,Birmingham University,Birmingham,United Kingdom,Mar,67,54
Paul,Karrer,901-66-2134,RU,CH,male,1937,chemistry,2,University of Zurich,Zurich,Switzerland,Apr,82,48
Richard,Kuhn,227-69-8156,AT,DE,male,1938,chemistry,1,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung,Heidelberg,Germany,Dec,67,38
Adolf,Butenandt,612-19-9896,DE,DE,male,1939,chemistry,2,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Berlin-Dahlem,Germany,Mar,92,36
Leopold,Ruzicka,329-10-2469,HR,CH,male,1939,chemistry,2,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,Sep,89,52
George,de Hevesy,593-68-5480,HU,DE,male,1943,chemistry,1,Stockholm University,Stockholm,Sweden,Aug,81,58
Otto,Hahn,428-54-9182,DE,DE,male,1944,chemistry,1,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Berlin-Dahlem,Germany,Mar,89,65
Artturi,Virtanen,418-35-5759,FI,FI,male,1945,chemistry,1,University of Helsinki,Helsinki,Finland,Jan,78,50
James B.,Sumner,697-83-5200,US,US,male,1946,chemistry,2,Cornell University,Ithaca NY,USA,Nov,68,59
John H.,Northrop,500-32-4428,US,US,male,1946,chemistry,4,Rockefeller Institute for Medical Research,Princeton NJ,USA,Jul,96,55
Wendell M.,Stanley,392-70-7479,US,ES,male,1946,chemistry,4,Rockefeller Institute for Medical Research,Princeton NJ,USA,Aug,67,42
Sir Robert,Robinson,451-37-5022,GB,GB,male,1947,chemistry,1,University of Oxford,Oxford,United Kingdom,Sep,89,61
Arne,Tiselius,201-50-4780,SE,SE,male,1948,chemistry,1,Uppsala University,Uppsala,Sweden,Aug,69,46
William F.,Giauque,627-10-5358,CA,US,male,1949,chemistry,1,University of California,Berkeley CA,USA,May,87,54
Otto,Diels,336-51-1397,DE,DE,male,1950,chemistry,2,Kiel University,Kiel,Germany,Jan,78,74
Kurt,Alder,910-14-5542,PL,DE,male,1950,chemistry,2,Cologne University,Cologne,Germany,Jul,56,48
Edwin M.,McMillan,372-36-8934,US,US,male,1951,chemistry,2,University of California,Berkeley CA,USA,Sep,84,44
Glenn T.,Seaborg,540-50-9578,US,US,male,1951,chemistry,2,University of California,Berkeley CA,USA,Apr,87,39
Archer J.P.,Martin,107-49-6677,GB,GB,male,1952,chemistry,2,National Institute for Medical Research,London,United Kingdom,Mar,92,42
Richard L.M.,Synge,397-13-8011,GB,GB,male,1952,chemistry,2,Rowett Research Institute,Bucksburn (Scotland),United Kingdom,Oct,80,38
Hermann,Staudinger,667-89-1347,DE,DE,male,1953,chemistry,1,University of Freiburg,Breisgau,Germany,Mar,84,72
Linus,Pauling,784-74-3560,US,US,male,1962,peace,1,California Institute of Technology (Caltech),Pasadena CA,USA,Feb,93,61
Linus,Pauling,155-64-8463,US,US,male,1954,chemistry,1,California Institute of Technology (Caltech),Pasadena CA,USA,Feb,93,53
Vincent,du Vigneaud,876-93-5358,US,US,male,1955,chemistry,1,Cornell University,Ithaca NY,USA,May,77,54
Sir Cyril,Hinshelwood,950-62-8439,GB,GB,male,1956,chemistry,2,University of Oxford,Oxford,United Kingdom,May,70,59
Nikolay,Semenov,677-16-7683,RU,RU,male,1956,chemistry,2,Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow,USSR (now Russia),Apr,90,60
Lord,Todd,410-15-6765,GB,GB,male,1957,chemistry,1,University of Cambridge,Cambridge,United Kingdom,Oct,90,50
Frederick,Sanger,704-94-3181,GB,GB,male,1958,chemistry,1,University of Cambridge,Cambridge,United Kingdom,Aug,95,40
Frederick,Sanger,101-98-6534,GB,GB,male,1980,chemistry,4,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Aug,95,62
Jaroslav,Heyrovsky,842-12-3003,CZ,CZ,male,1959,chemistry,1,Polarographic Institute of the Czechoslovak Academy of Science,Prague,Czechoslovakia (now Czech Republic),Dec,77,69
Willard F.,Libby,204-14-4213,US,US,male,1960,chemistry,1,University of California,Los Angeles CA,USA,Dec,72,52
